leaid	FIPST	STNAME	LEANAME07	CDID07	CDAREA07
0101410	01	Alabama	EUFAULA CITY	0102	59.267225176
0101440	01	Alabama	FAIRFIELD CITY	0107	3.4715319144
0101470	01	Alabama	FAYETTE COUNTY	0104	599.81029372
0101530	01	Alabama	FLORENCE CITY	0105	25.304728825
0101560	01	Alabama	FORT PAYNE CITY	0104	55.46835468
0101590	01	Alabama	FRANKLIN COUNTY	0104	620.44378777
0101620	01	Alabama	GADSDEN CITY	0104	36.852299316
0101640	01	Alabama	GENEVA CITY	0102	84.419633604
0101660	01	Alabama	GENEVA COUNTY	0102	489.97880299
0101680	01	Alabama	GREENE COUNTY	0107	647.10902637
0101690	01	Alabama	GUNTERSVILLE CITY	0104	25.357550691
0101710	01	Alabama	HALE COUNTY	0107	643.93985455
0101720	01	Alabama	HALEYVILLE CITY	0104	74.150824251
0101730	01	Alabama	HARTSELLE CITY	0104	0.1597157979
0101730	01	Alabama	HARTSELLE CITY	0105	14.652841635
0101740	01	Alabama	HENRY COUNTY	0102	561.60108618
0101760	01	Alabama	HOMEWOOD CITY	0107	3.1796467783
0101760	01	Alabama	HOMEWOOD CITY	0106	5.1906530069
0101770	01	Alabama	HOUSTON COUNTY	0102	498.39352885
0101800	01	Alabama	HUNTSVILLE CITY	0105	212.35526265
0101830	01	Alabama	JACKSON COUNTY	0105	1026.8682438
0101860	01	Alabama	JACKSONVILLE CITY	0103	9.6398662851
0101890	01	Alabama	JASPER CITY	0104	27.85372133
0101920	01	Alabama	JEFFERSON COUNTY	0107	118.40587176
0101920	01	Alabama	JEFFERSON COUNTY	0106	678.2050272
0101950	01	Alabama	LAMAR COUNTY	0104	604.84389503
0101980	01	Alabama	LANETT CITY	0103	5.9944131015
0102010	01	Alabama	LAUDERDALE COUNTY	0105	642.38978405
0102040	01	Alabama	LAWRENCE COUNTY	0105	690.67570815
0102070	01	Alabama	LEE COUNTY	0103	490.98155435
0102100	01	Alabama	LIMESTONE COUNTY	0105	516.62467278
0102130	01	Alabama	LINDEN CITY	0107	212.52665186
0102160	01	Alabama	LOWNDES COUNTY	0102	715.91192199
0102190	01	Alabama	MACON COUNTY	0103	608.94587311
0102220	01	Alabama	MADISON COUNTY	0105	566.42329192
0102250	01	Alabama	MARENGO COUNTY	0107	746.62138589
0102310	01	Alabama	MARION COUNTY	0104	702.69400128
0102350	01	Alabama	MIDFIELD CITY	0107	2.655706899
0102370	01	Alabama	MOBILE COUNTY	0101	1229.4310032
0102400	01	Alabama	MONROE COUNTY	0101	1025.6737599
0102430	01	Alabama	MONTGOMERY COUNTY	0102	149.46267434
0102430	01	Alabama	MONTGOMERY COUNTY	0103	631.47363347
0102480	01	Alabama	MORGAN COUNTY	0105	26.428586928
0102480	01	Alabama	MORGAN COUNTY	0104	489.79660601
0102490	01	Alabama	MOUNTAIN BROOK CITY	0107	0.0027459587
0102490	01	Alabama	MOUNTAIN BROOK CITY	0106	12.66688919
0102520	01	Alabama	MUSCLE SHOALS CITY	0105	15.261853337
0102550	01	Alabama	ONEONTA CITY	0104	14.956750765
0102580	01	Alabama	OPELIKA CITY	0103	57.198690882
0102610	01	Alabama	OPP CITY	0102	23.663859446
0102635	01	Alabama	OXFORD CITY	0103	30.998981849
0102640	01	Alabama	OZARK CITY	0102	65.757093855
0102650	01	Alabama	PELL CITY	0106	155.5391859
0102670	01	Alabama	PERRY COUNTY	0107	719.66126291
0102700	01	Alabama	PHENIX CITY	0103	25.878149628
0102730	01	Alabama	PICKENS COUNTY	0107	412.58599499
0102730	01	Alabama	PICKENS COUNTY	0104	468.8223235
0102760	01	Alabama	PIEDMONT CITY	0103	89.225231159
0102790	01	Alabama	PIKE COUNTY	0102	644.59541434
0102820	01	Alabama	RANDOLPH COUNTY	0103	561.84694794
0102850	01	Alabama	ROANOKE CITY	0103	18.70231059
0102880	01	Alabama	RUSSELL COUNTY	0103	619.0774714
0102910	01	Alabama	RUSSELLVILLE CITY	0104	13.528797045
0102940	01	Alabama	SCOTTSBORO CITY	0105	50.956338794
0102970	01	Alabama	SELMA CITY	0107	13.762579209
0103000	01	Alabama	SHEFFIELD CITY	0105	6.4876852711
0103030	01	Alabama	SHELBY COUNTY	0106	763.81536401
0103062	01	Alabama	ST CLAIR COUNTY	0104	115.33101003
0103062	01	Alabama	ST CLAIR COUNTY	0106	356.18553175
0103090	01	Alabama	SUMTER COUNTY	0107	903.88755855
0103120	01	Alabama	SYLACAUGA CITY	0103	18.530215198
0103150	01	Alabama	TALLADEGA CITY	0103	23.997140527
0103180	01	Alabama	TALLADEGA COUNTY	0103	688.23482966
0103210	01	Alabama	TALLAPOOSA COUNTY	0103	618.03508202
0103240	01	Alabama	TALLASSEE CITY	0103	3.1998267946
0103240	01	Alabama	TALLASSEE CITY	0102	91.555495238
0103270	01	Alabama	TARRANT CITY	0107	0.7178623994
0103270	01	Alabama	TARRANT CITY	0106	5.7489969065
0103300	01	Alabama	THOMASVILLE CITY	0107	48.08542279
0103300	01	Alabama	THOMASVILLE CITY	0101	57.708764674
0103330	01	Alabama	TROY CITY	0102	27.430212804
0103360	01	Alabama	TUSCALOOSA CITY	0106	19.19135301
0103360	01	Alabama	TUSCALOOSA CITY	0107	38.873860419
0103390	01	Alabama	TUSCALOOSA COUNTY	0107	474.78394842
0103390	01	Alabama	TUSCALOOSA COUNTY	0106	788.90891193
0103420	01	Alabama	TUSCUMBIA CITY	0105	8.6704170058
0103430	01	Alabama	VESTAVIA HILLS CITY	0106	18.920380326
0103450	01	Alabama	WALKER COUNTY	0104	763.34439696
0103480	01	Alabama	WASHINGTON COUNTY	0101	1080.207189
0103510	01	Alabama	WILCOX COUNTY	0107	888.50183012
0103540	01	Alabama	WINFIELD CITY	0104	64.910418118
0103580	01	Alabama	WINSTON COUNTY	0104	541.35360395
0200001	02	Alaska	LOWER KUSKOKWIM SCHOOL DISTRICT	0200	21301.326729
0200003	02	Alaska	LOWER YUKON SCHOOL DISTRICT	0200	17625.403151
0200004	02	Alaska	YUPIIT SCHOOL DISTRICT	0200	12.865332195
0200005	02	Alaska	KASHUNAMIUT SCHOOL DISTRICT	0200	0.9894443526
0200006	02	Alaska	MOUNT EDGECUMBE HIGH SCHOOL	N	-2
0200007	02	Alaska	ALEUTIANS EAST BOROUGH SCHOOL DISTRICT	0200	6982.4725061
0200010	02	Alaska	ALEUTIAN REGION SCHOOL DISTRICT	0200	4203.6062681
0200020	02	Alaska	BERING STRAIT SCHOOL DISTRICT	0200	22945.871658
0200030	02	Alaska	BRISTOL BAY BOROUGH SCHOOL DISTRICT	0200	503.97566552
0200050	02	Alaska	ALASKA GATEWAY SCHOOL DISTRICT	0200	18625.654866
0200060	02	Alaska	CORDOVA CITY SCHOOL DISTRICT	0200	61.193668851
0200070	02	Alaska	COPPER RIVER SCHOOL DISTRICT	0200	23521.414708
0200090	02	Alaska	CRAIG CITY SCHOOL DISTRICT	0200	7.2024831775
0200100	02	Alaska	DELTA/GREELY SCHOOL DISTRICT	0200	5602.7204678
0200120	02	Alaska	DILLINGHAM CITY SCHOOL DISTRICT	0200	33.570617702
0200130	02	Alaska	GALENA CITY SCHOOL DISTRICT	0200	17.725354712
0200150	02	Alaska	KETCHIKAN GATEWAY BOROUGH SCHOOL DISTRICT	0200	1232.4517488
0200180	02	Alaska	ANCHORAGE SCHOOL DISTRICT	0200	1705.1337574
0200210	02	Alaska	JUNEAU BOROUGH SCHOOL DISTRICT	0200	2700.0102892
0200240	02	Alaska	SITKA SCHOOL DISTRICT	0200	2870.157039
0200270	02	Alaska	HAINES BOROUGH SCHOOL DISTRICT	0200	2318.8133609
0200300	02	Alaska	HOONAH CITY SCHOOL DISTRICT	0200	5.9993054022
0200330	02	Alaska	HYDABURG CITY SCHOOL DISTRICT	0200	0.581584934
0200360	02	Alaska	KAKE CITY SCHOOL DISTRICT	0200	8.9614766555
0200390	02	Alaska	KENAI PENINSULA BOROUGH SCHOOL DISTRICT	0200	16080.047726
0200450	02	Alaska	KLAWOCK CITY SCHOOL DISTRICT	0200	0.7669332831
0200480	02	Alaska	KODIAK ISLAND BOROUGH SCHOOL DISTRICT	0200	6550.4104753
0200485	02	Alaska	LAKE AND PENINSULA BOROUGH SCHOOL DISTRICT	0200	23725.84461
0200510	02	Alaska	MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT	0200	24611.688465
0200520	02	Alaska	IDITAROD AREA SCHOOL DISTRICT	0200	40336.699738
0200525	02	Alaska	ANNETTE ISLAND SCHOOL DISTRICT	0200	131.80782459
0200540	02	Alaska	NENANA CITY SCHOOL DISTRICT	0200	5.9085165646
0200570	02	Alaska	NOME PUBLIC SCHOOLS	0200	12.631520687
0200600	02	Alaska	FAIRBANKS NORTH STAR BOROUGH SCHOOL DISTRICT	0200	7337.9714404
0200610	02	Alaska	NORTH SLOPE BOROUGH SCHOOL DISTRICT	0200	88688.691409
0200625	02	Alaska	NORTHWEST ARCTIC BOROUGH SCHOOL DISTRICT	0200	35551.689314
0200630	02	Alaska	PELICAN CITY SCHOOL DISTRICT	0200	0.6013363768
0200660	02	Alaska	PETERSBURG CITY SCHOOL DISTRICT	0200	44.13783809
0200670	02	Alaska	PRIBILOF SCHOOL DISTRICT	0200	75.064573272
0200680	02	Alaska	SAINT MARY'S SCHOOL DISTRICT	0200	44.28808898
0200690	02	Alaska	SKAGWAY CITY SCHOOL DISTRICT	0200	452.09826185
0200700	02	Alaska	SOUTHEAST ISLAND SCHOOL DISTRICT	0200	12324.660158
0200710	02	Alaska	SOUTHWEST REGION SCHOOL DISTRICT	0200	18544.717892
0200715	02	Alaska	TANANA CITY SCHOOL DISTRICT	0200	11.040619107
0200720	02	Alaska	UNALASKA CITY SCHOOL DISTRICT	0200	111.7035299
0200730	02	Alaska	CHATHAM SCHOOL DISTRICT	0200	8312.3336591
0200760	02	Alaska	KUSPUK SCHOOL DISTRICT	0200	11383.607053
0200770	02	Alaska	DENALI BOROUGH SCHOOL DISTRICT	0200	12764.868963
0200775	02	Alaska	YUKON FLATS SCHOOL DISTRICT	0200	53977.532877
0200780	02	Alaska	VALDEZ CITY SCHOOL DISTRICT	0200	218.30919641
0200800	02	Alaska	CHUGACH SCHOOL DISTRICT	0200	9354.7031735
0200810	02	Alaska	WRANGELL PUBLIC SCHOOL DISTRICT	0200	45.172548676
0200840	02	Alaska	YAKUTAT SCHOOL DISTRICT	0200	7647.7559533
0200862	02	Alaska	YUKON/KOYUKUK SCHOOL DISTRICT	0200	60030.236372
0400001	04	Arizona	CAVE CREEK UNIFIED DISTRICT	0403	55.66868804
0400001	04	Arizona	CAVE CREEK UNIFIED DISTRICT	0405	152.19250553
0400003	04	Arizona	CHINO VALLEY UNIFIED DISTRICT	0401	404.10595802
0400004	04	Arizona	CLARKDALE-JEROME ELEMENTARY DISTRICT	0401	90.400626953
0400005	04	Arizona	SALOME CONSOLIDATED ELEMENTARY DISTRICT	0407	599.19240552
0400016	04	Arizona	CENTER FOR ACADEMIC SUCCESS  INC.	N	-2
0400018	04	Arizona	PINE FOREST EDUCATION ASSOCIATION  INC.	N	-2
0400019	04	Arizona	FLAGSTAFF ARTS AND LEADERSHIP ACADEMY	N	-2
0400020	04	Arizona	MONTESSORI CHARTER SCHOOL OF FLAGSTAFF  INC.	N	-2
0400021	04	Arizona	COLORADO CITY UNIFIED DISTRICT	0402	834.46972843
0400022	04	Arizona	VERNON ELEMENTARY DISTRICT	0401	218.30311646
0400023	04	Arizona	PINON UNIFIED DISTRICT	0402	355.22965203
0400023	04	Arizona	PINON UNIFIED DISTRICT	0401	585.38103729
0400026	04	Arizona	HEBER-OVERGAARD UNIFIED DISTRICT	0401	577.04935081
0400028	04	Arizona	TRIUMPHANT LEARNING CENTER	N	-2
0400031	04	Arizona	VENTANA ACADEMIC CHARTER SCHOOL	N	-2
0400033	04	Arizona	MESA ARTS ACADEMY	N	-2
0400034	04	Arizona	VALLEY ACADEMY  INC.	N	-2
0400036	04	Arizona	FOOTHILLS ACADEMY	N	-2
0400037	04	Arizona	TWENTY FIRST CENTURY CHARTER SCHOOL  INC. DBA: BENNETT ACADE	N	-2
0400038	04	Arizona	CASY COUNTRY DAY SCHOOL	N	-2
0400039	04	Arizona	DRAGONFLEYE SCIENCE  INC.	N	-2
0400040	04	Arizona	EDU-PRIZE  INC.	N	-2
0400041	04	Arizona	MARICOPA COUNTY COMMUNITY COLLEGE DISTRICT ON BEHALF OF GATE	N	-2
0400043	04	Arizona	NEW SCHOOL FOR THE ARTS	N	-2
0400045	04	Arizona	INTERNATIONAL STUDIES ACADEMY	N	-2
0400047	04	Arizona	SALT RIVER PIMA-MARICOPA  COMMUNITY SCHOOLS	N	-2
0400048	04	Arizona	KACHINA COUNTRY DAY SCHOOL	N	-2
0400052	04	Arizona	ESPIRITU COMMUNITY DEVELOPMENT CORP.	N	-2
0400053	04	Arizona	HERITAGE ACADEMY  INC.	N	-2
0400054	04	Arizona	VILLA MONTESSORI CHARTER SCHOOL	N	-2
0400055	04	Arizona	EDUPRENEURSHIP  INC.	N	-2
0400056	04	Arizona	ARIZONA SCHOOL FOR THE ARTS	N	-2
0400057	04	Arizona	ARIZONA CALL-A-TEEN YOUTH RESOURCES  INC.	N	-2
0400059	04	Arizona	SCOTTSDALE HORIZONS CHARTER SCHOOL	N	-2
0400061	04	Arizona	INTELLI-SCHOOL  INC.	N	-2
0400062	04	Arizona	TERTULIA: A LEARNING COMMUNITY	N	-2
0400064	04	Arizona	LAKE HAVASU CHARTER SCHOOL  INC.	N	-2
0400065	04	Arizona	BENJAMIN FRANKLIN CHARTER SCHOOL	N	-2
0400067	04	Arizona	VICTORY HIGH SCHOOL  INC.	N	-2
0400068	04	Arizona	MONTESSORI DAY PUBLIC SCHOOLS CHARTERED  INC.	N	-2
0400069	04	Arizona	KHALSA MONTESSORI ELEMENTARY SCHOOLS	N	-2
0400070	04	Arizona	TEMPE PREPARATORY ACADEMY	N	-2
0400071	04	Arizona	BRIGHT BEGINNINGS SCHOOL  INC.	N	-2
0400072	04	Arizona	MONTESSORI EDUCATION CENTRE CHARTER SCHOOL	N	-2
0400074	04	Arizona	KINGMAN ACADEMY OF LEARNING	N	-2
0400075	04	Arizona	YOUNG SCHOLARS ACADEMY CHARTER SCHOOL CORP.	N	-2
0400077	04	Arizona	NORTHERN ARIZONA ACADEMY FOR CAREER DEVELOPMENT  INC.	N	-2
0400078	04	Arizona	EDGE SCHOOL  INC. THE	N	-2
0400079	04	Arizona	TUCSON YOUTH DEVELOPMENT/ACE CHARTER HIGH SCHOOL	N	-2
0400081	04	Arizona	PRESIDIO SCHOOL	N	-2
0400082	04	Arizona	COLORADO RIVER UNION HIGH SCHOOL DISTRICT	0402	1046.7379644
0400083	04	Arizona	PPEP & AFFILIATES	N	-2
0400085	04	Arizona	TUCSON URBAN LEAGUE  INC.	N	-2
0400088	04	Arizona	MINGUS MOUNTAIN ESTATE RESIDENTIAL CENTER  INC.	N	-2
0400089	04	Arizona	SEDONA CHARTER SCHOOL  INC.	N	-2
0400090	04	Arizona	MINGUS SPRINGS CHARTER SCHOOL	N	-2
0400092	04	Arizona	FRANKLIN PHONETIC PRIMARY SCHOOL  INC.	N	-2
0400093	04	Arizona	SKYVIEW SCHOOL  INC.	N	-2
0400094	04	Arizona	AZ-TEC HIGH SCHOOL	N	-2
0400095	04	Arizona	YUMA PRIVATE INDUSTRY COUNCIL  INC.	N	-2
0400096	04	Arizona	MOUNTAIN SCHOOL  INC.	N	-2
0400097	04	Arizona	NORTHLAND PREPARATORY ACADEMY	N	-2
0400098	04	Arizona	FLAGSTAFF JUNIOR ACADEMY	N	-2
0400099	04	Arizona	LIBERTY HIGH SCHOOL	N	-2
0400100	04	Arizona	BALL CHARTER SCHOOLS (HEARN)	N	-2
0400101	04	Arizona	OMEGA SCHOOLS D.B.A. OMEGA ACADEMY  INC.	N	-2
0400102	04	Arizona	FRIENDLY HOUSE  INC.	N	-2
0400103	04	Arizona	OMBUDSMAN EDUCATIONAL SERVICES  LTD. A SUBSIDIARY OF EDUCATI	N	-2
0400104	04	Arizona	GLOBAL RENAISSANCE ACADEMY OF DISTINGUISHED EDUCATION	N	-2
0400105	04	Arizona	DCS PARTNER  INC. DBA DESTINY COMMUNITY SCHOOL.	N	-2
0400106	04	Arizona	ARIZONA AGRIBUSINESS & EQUINE CENTER  INC.	N	-2
0400107	04	Arizona	INTERNATIONAL COMMERCE SECONDARY SCHOOLS  INC.	N	-2
0400108	04	Arizona	HUMANITIES AND SCIENCES ACADEMY OF THE UNITED STATES  INC.	N	-2
0400109	04	Arizona	PHOENIX ADVANTAGE CHARTER SCHOOL  INC.	N	-2
0400111	04	Arizona	ALLEN-COCHRAN ENTERPRISES  INC.	N	-2
0400112	04	Arizona	EAGLES AERIE SCHOOLS	N	-2
0400113	04	Arizona	FOUNTAIN HILLS CHARTER SCHOOL	N	-2
0400114	04	Arizona	CALLI OLLIN ACADEMY	N	-2
0400115	04	Arizona	HERMOSA MONTESSORI CHARTER SCHOOL	N	-2
0400116	04	Arizona	CASA BLANCA MIDDLE SCHOOL	N	-2
0400120	04	Arizona	ARIZONA DEPARTMENT OF CORRECTIONS	N	-2
0400121	04	Arizona	ACCELERATED LEARNING CENTER  INC.	N	-2
0400122	04	Arizona	ACCLAIM CHARTER SCHOOL	N	-2
0400124	04	Arizona	GENESIS ACADEMY	N	-2
0400125	04	Arizona	LUZ ACADEMY OF TUCSON  INC	N	-2
0400126	04	Arizona	MONTESSORI SCHOOLHOUSE OF TUCSON  INC.	N	-2
0400128	04	Arizona	ACADEMY OF EXCELLENCE  INC.	N	-2
0400129	04	Arizona	ACCELERATED ELEMENTARY AND SECONDARY SCHOOLS	N	-2
0400130	04	Arizona	AMERICAN HERITAGE ACADEMY	N	-2
0400131	04	Arizona	THE CHARTER FOUNDATION  INC. DBA AMERISCHOOLS	N	-2
0400133	04	Arizona	EMPLOY-ABILITY UNLIMITED  INC. DBA COPPER CANYON ACADEMY	N	-2
0400134	04	Arizona	BASIS SCHOOL  INC.	N	-2
0400135	04	Arizona	CHALLENGE SCHOOL  INC.	N	-2
0400136	04	Arizona	CHESTER NEWTON CHARTER AND MONTESSORI SCHOOL	N	-2
0400138	04	Arizona	D.W. HIGGINS INSTITUTE	N	-2
0400141	04	Arizona	DISCOVERY PLUS ACADEMY	N	-2
0400142	04	Arizona	E.Q. SCHOLARS  INC.	N	-2
0400143	04	Arizona	ENTERPRISE ACADEMY	N	-2
0400144	04	Arizona	FLORENCE CRITTENTON SERVICES OF ARIZONA  INC.	N	-2
0400145	04	Arizona	GEM CHARTER SCHOOL  INC.	N	-2
0400146	04	Arizona	GLOBAL EDUCATION FOUNDATION	N	-2
0400147	04	Arizona	HA:SAN EDUCATIONAL SERVICES	N	-2
0400148	04	Arizona	EAST VALLEY YOUTH AND FAMILY SUPPORT CENTERS  INC.	N	-2
0400149	04	Arizona	EL DORADO PUBLIC CHARTER HIGH SCHOOL	N	-2
0400150	04	Arizona	MEXICAYOTL ACADEMY  INC.	N	-2
0400151	04	Arizona	NEW HORIZON SCHOOL FOR THE PERFORMING ARTS	N	-2
0400152	04	Arizona	NEW WEST SCHOOL	N	-2
0400153	04	Arizona	PHOENIX SCHOOL OF ACADEMIC EXCELLENCE THE	N	-2
0400154	04	Arizona	SHONTO GOVERNING BOARD OF EDUCATION  INC.	N	-2
0400155	04	Arizona	RENAISSANCE EDUCATIONAL CONSORTIUM  INC.	N	-2
0400157	04	Arizona	SEQUOIA CHOICE SCHOOLS  LLLP	N	-2
0400159	04	Arizona	TUCSON PREPARATORY SCHOOL	N	-2
0400160	04	Arizona	VISION CHARTER SCHOOL  INC.	N	-2
0400161	04	Arizona	WESTWIND CHILDREN'S SERVICES	N	-2
0400162	04	Arizona	VICKI A. ROMERO HIGH SCHOOL	N	-2
0400163	04	Arizona	COCONINO COUNTY REGIONAL ACCOMMODATION SD	N	-2
0400164	04	Arizona	ARIZONA ACADEMY OF SCIENCE AND TECHNOLOGY  INC.	N	-2
0400165	04	Arizona	KEYSTONE MONTESSORI CHARTER SCHOOL  INC.	N	-2
0400178	04	Arizona	GREENLEE ALTERNATIVE SCHOOL DISTRICT	N	-2
0400181	04	Arizona	BENCHMARK SCHOOL  INC.	N	-2
0400182	04	Arizona	CAMBRIDGE ACADEMY  EAST   INC	N	-2
0400184	04	Arizona	BALL CHARTER SCHOOLS (DOBSON)	N	-2
0400185	04	Arizona	PHOENIX EDUCATION MANAGEMENT  LLC	N	-2
0400187	04	Arizona	STEPPING STONES ACADEMY	N	-2
0400188	04	Arizona	ADVANCED EDUCATION SERVICES  INC.	N	-2
0400189	04	Arizona	EAST VALLEY ACADEMY	N	-2
0400190	04	Arizona	LIBERTY TRADITIONAL CHARTER SCHOOL	N	-2
0400191	04	Arizona	CHAMPION SCHOOLS  INC.	N	-2
0400192	04	Arizona	SONORAN DESERT SCHOOL	N	-2
0400197	04	Arizona	NAVIT	N	-2
0400198	04	Arizona	SHONTO GOVERNING BOARD OF EDUCATION    INC.	N	-2
0400201	04	Arizona	PIMA COUNTY BOARD OF SUPERVISORS	N	-2
0400202	04	Arizona	ACADEMY OF TUCSON  INC.	N	-2
0400204	04	Arizona	MOUNTAIN ROSE ACADEMY  INC.	N	-2
0400205	04	Arizona	GREAT EXPECTATIONS ACADEMY	N	-2
0400206	04	Arizona	DESERT SPRINGS ACADEMY	N	-2
