leaid	FIPST	STNAME	LEANAME07	nectaID07	nectaNAME07	nectaAREA07
0100002	01	Alabama	ALABAMA YOUTH SERVICES	N	N	-2
0100005	01	Alabama	ALBERTVILLE CITY	O	O	26.566706101
0100006	01	Alabama	MARSHALL COUNTY	O	O	489.67080967
0100007	01	Alabama	HOOVER CITY	O	O	46.79187085
0100008	01	Alabama	MADISON CITY	O	O	22.871162337
0100009	01	Alabama	AL INST DEAF AND BLIND	N	N	-2
0100010	01	Alabama	AL SCH OF MATH AND SCIENCE	N	N	-2
0100011	01	Alabama	LEEDS CITY	O	O	22.765107792
0100012	01	Alabama	BOAZ CITY	O	O	13.512140211
0100013	01	Alabama	TRUSSVILLE CITY	O	O	32.158402664
0100014	01	Alabama	ALABAMA CLINICAL ENTERPRISES	N	N	-2
0100015	01	Alabama	SAFETYNET ACADEMY	N	N	-2
0100016	01	Alabama	BRYCE ADOLESCENT SCHOOL	N	N	-2
0100017	01	Alabama	SEARCY HOSPITAL	N	N	-2
0100018	01	Alabama	ALABAMA SCHOOL OF FINE ARTS	N	N	-2
0100019	01	Alabama	UCP OF GREATER BIRMINGHAM	N	N	-2
0100020	01	Alabama	BOYD SCHOOL	N	N	-2
0100021	01	Alabama	BREWERS PORCH CHILDRENS CENTER	N	N	-2
0100022	01	Alabama	THREE SPRINGS COURTLAND SCH	N	N	-2
0100023	01	Alabama	THREE SPRINGS MADISON SCH	N	N	-2
0100024	01	Alabama	THREE SPRINGS NEW BEGINNINGS	N	N	-2
0100026	01	Alabama	THREE SPRINGS NEW TUSKEGEE	N	N	-2
0100028	01	Alabama	THREE SPRINGS NEW TUSKEGEE	N	N	-2
0100029	01	Alabama	THREE SPRINGS NEW DIRECTION	N	N	-2
0100030	01	Alabama	ALEXANDER CITY	O	O	95.228838898
0100032	01	Alabama	THE BRIDGE	N	N	-2
0100033	01	Alabama	GLENWOOD MENTAL HEALTH SERVICE	N	N	-2
0100035	01	Alabama	LEARNING TREE INC	N	N	-2
0100036	01	Alabama	LEE CO YOUTH DEVELOPMENT CTR	N	N	-2
0100037	01	Alabama	BAY POINT CENTER	N	N	-2
0100038	01	Alabama	PATHWAY INC	N	N	-2
0100039	01	Alabama	PRESBYTERIAN HOME FOR CHILDREN	N	N	-2
0100040	01	Alabama	BRANTWOOD CHILDREN'S HOME	N	N	-2
0100041	01	Alabama	DEVELOPING ALABAMA YOUTH PROG	N	N	-2
0100042	01	Alabama	LAUREL OAKS BEHAVIORAL HEALTH	N	N	-2
0100043	01	Alabama	MOUNTAINVIEW HOSPITAL	N	N	-2
0100044	01	Alabama	THE RUSHTON SCHOOL	N	N	-2
0100045	01	Alabama	WILMER HALL	N	N	-2
0100046	01	Alabama	THREE SPRINGS PAINT ROCK VALLEY	N	N	-2
0100060	01	Alabama	ANDALUSIA CITY	O	O	18.947938755
0100090	01	Alabama	ANNISTON CITY	O	O	45.626556185
0100100	01	Alabama	ARAB CITY	O	O	18.589772231
0100120	01	Alabama	ATHENS CITY	O	O	38.548907176
0100173	01	Alabama	COMPASS ACADEMY	N	N	-2
0100174	01	Alabama	ETOWAH ACADEMY	N	N	-2
0100175	01	Alabama	POINTE ACADEMY	N	N	-2
0100176	01	Alabama	ALABAMA CORRECTIONAL FACILITIES	N	N	-2
0100178	01	Alabama	HIGDON HILL SCHOOL	N	N	-2
0100179	01	Alabama	THE BRIDGE II	N	N	-2
0100180	01	Alabama	ATTALLA CITY	O	O	6.9820682567
0100181	01	Alabama	COMPASS SCHOOL	N	N	-2
0100183	01	Alabama	ALABAMA CLINICAL SCHOOL	N	N	-2
0100184	01	Alabama	EXCEL INSTITUTE	N	N	-2
0100185	01	Alabama	SARALAND CITY	N	N	-2
0100210	01	Alabama	AUBURN CITY	O	O	55.563457051
0100240	01	Alabama	AUTAUGA COUNTY	O	O	594.42368613
0100270	01	Alabama	BALDWIN COUNTY	O	O	1589.7821805
0100300	01	Alabama	BARBOUR COUNTY	O	O	825.58181698
0100330	01	Alabama	BESSEMER CITY	O	O	40.685428272
0100360	01	Alabama	BIBB COUNTY	O	O	622.58229768
0100390	01	Alabama	BIRMINGHAM CITY	O	O	145.5861726
0100420	01	Alabama	BLOUNT COUNTY	O	O	628.8882018
0100450	01	Alabama	BREWTON CITY	O	O	11.195041058
0100480	01	Alabama	BULLOCK COUNTY	O	O	622.80459485
0100510	01	Alabama	BUTLER COUNTY	O	O	776.83916219
0100540	01	Alabama	CALHOUN COUNTY	O	O	485.18146686
0100600	01	Alabama	CHAMBERS COUNTY	O	O	590.5363882
0100630	01	Alabama	CHEROKEE COUNTY	O	O	553.70581447
0100660	01	Alabama	CHILTON COUNTY	O	O	692.85577037
0100690	01	Alabama	CHOCTAW COUNTY	O	O	913.50004209
0100720	01	Alabama	CLARKE COUNTY	O	O	1132.6671741
0100750	01	Alabama	CLAY COUNTY	O	O	603.98170957
0100780	01	Alabama	CLEBURNE COUNTY	O	O	511.11330554
0100810	01	Alabama	COFFEE COUNTY	O	O	496.04539094
0100840	01	Alabama	COLBERT COUNTY	O	O	562.19960247
0100870	01	Alabama	CONECUH COUNTY	O	O	850.15283275
0100900	01	Alabama	COOSA COUNTY	O	O	650.91104592
0100930	01	Alabama	COVINGTON COUNTY	O	O	987.85507153
0100960	01	Alabama	CRENSHAW COUNTY	O	O	608.82421926
0100990	01	Alabama	CULLMAN CITY	O	O	18.961192484
0101020	01	Alabama	CULLMAN COUNTY	O	O	711.01096916
0101050	01	Alabama	DALE COUNTY	O	O	361.74342159
0101080	01	Alabama	DALEVILLE CITY	O	O	60.36891947
0101110	01	Alabama	DALLAS COUNTY	O	O	964.93636148
0101140	01	Alabama	DEKALB COUNTY	O	O	721.62595695
0101170	01	Alabama	DECATUR CITY	O	O	53.063784079
0101200	01	Alabama	DEMOPOLIS CITY	O	O	17.738114231
0101230	01	Alabama	DOTHAN CITY	O	O	87.710240742
0101260	01	Alabama	ELBA CITY	O	O	83.941431389
0101290	01	Alabama	ELMORE COUNTY	O	O	526.9324437
0101320	01	Alabama	ENTERPRISE CITY	O	O	76.161457505
0101350	01	Alabama	ESCAMBIA COUNTY	O	O	933.87672491
0101380	01	Alabama	ETOWAH COUNTY	O	O	488.281882
0101410	01	Alabama	EUFAULA CITY	O	O	59.267225176
0101440	01	Alabama	FAIRFIELD CITY	O	O	3.4715319144
0101470	01	Alabama	FAYETTE COUNTY	O	O	599.81029372
0101530	01	Alabama	FLORENCE CITY	O	O	25.304728825
0101560	01	Alabama	FORT PAYNE CITY	O	O	55.46835468
0101590	01	Alabama	FRANKLIN COUNTY	O	O	620.44378777
0101620	01	Alabama	GADSDEN CITY	O	O	36.852299316
0101640	01	Alabama	GENEVA CITY	O	O	84.419633604
0101660	01	Alabama	GENEVA COUNTY	O	O	489.97880299
0101680	01	Alabama	GREENE COUNTY	O	O	647.10902637
0101690	01	Alabama	GUNTERSVILLE CITY	O	O	25.357550691
0101710	01	Alabama	HALE COUNTY	O	O	643.93985455
0101720	01	Alabama	HALEYVILLE CITY	O	O	74.150824251
0101730	01	Alabama	HARTSELLE CITY	O	O	14.812557433
0101740	01	Alabama	HENRY COUNTY	O	O	561.60108618
0101760	01	Alabama	HOMEWOOD CITY	O	O	8.3702997852
0101770	01	Alabama	HOUSTON COUNTY	O	O	498.39352885
0101800	01	Alabama	HUNTSVILLE CITY	O	O	212.35526265
0101830	01	Alabama	JACKSON COUNTY	O	O	1026.8682438
0101860	01	Alabama	JACKSONVILLE CITY	O	O	9.6398662851
0101890	01	Alabama	JASPER CITY	O	O	27.85372133
0101920	01	Alabama	JEFFERSON COUNTY	O	O	796.61089897
0101950	01	Alabama	LAMAR COUNTY	O	O	604.84389503
0101980	01	Alabama	LANETT CITY	O	O	5.9944131015
0102010	01	Alabama	LAUDERDALE COUNTY	O	O	642.38978405
0102040	01	Alabama	LAWRENCE COUNTY	O	O	690.67570815
0102070	01	Alabama	LEE COUNTY	O	O	490.98155435
0102100	01	Alabama	LIMESTONE COUNTY	O	O	516.62467278
0102130	01	Alabama	LINDEN CITY	O	O	212.52665186
0102160	01	Alabama	LOWNDES COUNTY	O	O	715.91192199
0102190	01	Alabama	MACON COUNTY	O	O	608.94587311
0102220	01	Alabama	MADISON COUNTY	O	O	566.42329192
0102250	01	Alabama	MARENGO COUNTY	O	O	746.62138589
0102310	01	Alabama	MARION COUNTY	O	O	702.69400128
0102350	01	Alabama	MIDFIELD CITY	O	O	2.655706899
0102370	01	Alabama	MOBILE COUNTY	O	O	1229.4310032
0102400	01	Alabama	MONROE COUNTY	O	O	1025.6737599
0102430	01	Alabama	MONTGOMERY COUNTY	O	O	780.93630781
0102480	01	Alabama	MORGAN COUNTY	O	O	516.22519294
0102490	01	Alabama	MOUNTAIN BROOK CITY	O	O	12.669635149
0102520	01	Alabama	MUSCLE SHOALS CITY	O	O	15.261853337
0102550	01	Alabama	ONEONTA CITY	O	O	14.956750765
0102580	01	Alabama	OPELIKA CITY	O	O	57.198690882
0102610	01	Alabama	OPP CITY	O	O	23.663859446
0102635	01	Alabama	OXFORD CITY	O	O	30.998981849
0102640	01	Alabama	OZARK CITY	O	O	65.757093855
0102650	01	Alabama	PELL CITY	O	O	155.5391859
0102670	01	Alabama	PERRY COUNTY	O	O	719.66126291
0102700	01	Alabama	PHENIX CITY	O	O	25.878149628
0102730	01	Alabama	PICKENS COUNTY	O	O	881.40831849
0102760	01	Alabama	PIEDMONT CITY	O	O	89.225231159
0102790	01	Alabama	PIKE COUNTY	O	O	644.59541434
0102820	01	Alabama	RANDOLPH COUNTY	O	O	561.84694794
0102850	01	Alabama	ROANOKE CITY	O	O	18.70231059
0102880	01	Alabama	RUSSELL COUNTY	O	O	619.0774714
0102910	01	Alabama	RUSSELLVILLE CITY	O	O	13.528797045
0102940	01	Alabama	SCOTTSBORO CITY	O	O	50.956338794
0102970	01	Alabama	SELMA CITY	O	O	13.762579209
0103000	01	Alabama	SHEFFIELD CITY	O	O	6.4876852711
0103030	01	Alabama	SHELBY COUNTY	O	O	763.81536401
0103062	01	Alabama	ST CLAIR COUNTY	O	O	471.51654178
0103090	01	Alabama	SUMTER COUNTY	O	O	903.88755855
0103120	01	Alabama	SYLACAUGA CITY	O	O	18.530215198
0103150	01	Alabama	TALLADEGA CITY	O	O	23.997140527
0103180	01	Alabama	TALLADEGA COUNTY	O	O	688.23482966
0103210	01	Alabama	TALLAPOOSA COUNTY	O	O	618.03508202
0103240	01	Alabama	TALLASSEE CITY	O	O	94.755322032
0103270	01	Alabama	TARRANT CITY	O	O	6.4668593059
0103300	01	Alabama	THOMASVILLE CITY	O	O	105.79418746
0103330	01	Alabama	TROY CITY	O	O	27.430212804
0103360	01	Alabama	TUSCALOOSA CITY	O	O	58.06521343
0103390	01	Alabama	TUSCALOOSA COUNTY	O	O	1263.6928604
0103420	01	Alabama	TUSCUMBIA CITY	O	O	8.6704170058
0103430	01	Alabama	VESTAVIA HILLS CITY	O	O	18.920380326
0103450	01	Alabama	WALKER COUNTY	O	O	763.34439696
0103480	01	Alabama	WASHINGTON COUNTY	O	O	1080.207189
0103510	01	Alabama	WILCOX COUNTY	O	O	888.50183012
0103540	01	Alabama	WINFIELD CITY	O	O	64.910418118
0103580	01	Alabama	WINSTON COUNTY	O	O	541.35360395
0200001	02	Alaska	LOWER KUSKOKWIM SCHOOL DISTRICT	O	O	21301.326729
0200003	02	Alaska	LOWER YUKON SCHOOL DISTRICT	O	O	17625.403151
0200004	02	Alaska	YUPIIT SCHOOL DISTRICT	O	O	12.865332195
0200005	02	Alaska	KASHUNAMIUT SCHOOL DISTRICT	O	O	0.9894443526
0200006	02	Alaska	MOUNT EDGECUMBE HIGH SCHOOL	N	N	-2
0200007	02	Alaska	ALEUTIANS EAST BOROUGH SCHOOL DISTRICT	O	O	6982.4725061
0200010	02	Alaska	ALEUTIAN REGION SCHOOL DISTRICT	O	O	4203.6062681
0200020	02	Alaska	BERING STRAIT SCHOOL DISTRICT	O	O	22945.871658
0200030	02	Alaska	BRISTOL BAY BOROUGH SCHOOL DISTRICT	O	O	503.97566552
0200050	02	Alaska	ALASKA GATEWAY SCHOOL DISTRICT	O	O	18625.654866
0200060	02	Alaska	CORDOVA CITY SCHOOL DISTRICT	O	O	61.193668851
0200070	02	Alaska	COPPER RIVER SCHOOL DISTRICT	O	O	23521.414708
0200090	02	Alaska	CRAIG CITY SCHOOL DISTRICT	O	O	7.2024831775
0200100	02	Alaska	DELTA/GREELY SCHOOL DISTRICT	O	O	5602.7204678
0200120	02	Alaska	DILLINGHAM CITY SCHOOL DISTRICT	O	O	33.570617702
0200130	02	Alaska	GALENA CITY SCHOOL DISTRICT	O	O	17.725354712
0200150	02	Alaska	KETCHIKAN GATEWAY BOROUGH SCHOOL DISTRICT	O	O	1232.4517488
0200180	02	Alaska	ANCHORAGE SCHOOL DISTRICT	O	O	1705.1337574
0200210	02	Alaska	JUNEAU BOROUGH SCHOOL DISTRICT	O	O	2700.0102892
0200240	02	Alaska	SITKA SCHOOL DISTRICT	O	O	2870.157039
0200270	02	Alaska	HAINES BOROUGH SCHOOL DISTRICT	O	O	2318.8133609
0200300	02	Alaska	HOONAH CITY SCHOOL DISTRICT	O	O	5.9993054022
0200330	02	Alaska	HYDABURG CITY SCHOOL DISTRICT	O	O	0.581584934
0200360	02	Alaska	KAKE CITY SCHOOL DISTRICT	O	O	8.9614766555
0200390	02	Alaska	KENAI PENINSULA BOROUGH SCHOOL DISTRICT	O	O	16080.047726
0200450	02	Alaska	KLAWOCK CITY SCHOOL DISTRICT	O	O	0.7669332831
0200480	02	Alaska	KODIAK ISLAND BOROUGH SCHOOL DISTRICT	O	O	6550.4104753
0200485	02	Alaska	LAKE AND PENINSULA BOROUGH SCHOOL DISTRICT	O	O	23725.84461
0200510	02	Alaska	MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT	O	O	24611.688465
0200520	02	Alaska	IDITAROD AREA SCHOOL DISTRICT	O	O	40336.699738
0200525	02	Alaska	ANNETTE ISLAND SCHOOL DISTRICT	O	O	131.80782459
0200540	02	Alaska	NENANA CITY SCHOOL DISTRICT	O	O	5.9085165646
0200570	02	Alaska	NOME PUBLIC SCHOOLS	O	O	12.631520687
0200600	02	Alaska	FAIRBANKS NORTH STAR BOROUGH SCHOOL DISTRICT	O	O	7337.9714404
0200610	02	Alaska	NORTH SLOPE BOROUGH SCHOOL DISTRICT	O	O	88688.691409
0200625	02	Alaska	NORTHWEST ARCTIC BOROUGH SCHOOL DISTRICT	O	O	35551.689314
0200630	02	Alaska	PELICAN CITY SCHOOL DISTRICT	O	O	0.6013363768
0200660	02	Alaska	PETERSBURG CITY SCHOOL DISTRICT	O	O	44.13783809
0200670	02	Alaska	PRIBILOF SCHOOL DISTRICT	O	O	75.064573272
0200680	02	Alaska	SAINT MARY'S SCHOOL DISTRICT	O	O	44.28808898
0200690	02	Alaska	SKAGWAY CITY SCHOOL DISTRICT	O	O	452.09826185
0200700	02	Alaska	SOUTHEAST ISLAND SCHOOL DISTRICT	O	O	12324.660158
0200710	02	Alaska	SOUTHWEST REGION SCHOOL DISTRICT	O	O	18544.717892
0200715	02	Alaska	TANANA CITY SCHOOL DISTRICT	O	O	11.040619107
0200720	02	Alaska	UNALASKA CITY SCHOOL DISTRICT	O	O	111.7035299
0200730	02	Alaska	CHATHAM SCHOOL DISTRICT	O	O	8312.3336591
0200760	02	Alaska	KUSPUK SCHOOL DISTRICT	O	O	11383.607053
0200770	02	Alaska	DENALI BOROUGH SCHOOL DISTRICT	O	O	12764.868963
0200775	02	Alaska	YUKON FLATS SCHOOL DISTRICT	O	O	53977.532877
0200780	02	Alaska	VALDEZ CITY SCHOOL DISTRICT	O	O	218.30919641
0200800	02	Alaska	CHUGACH SCHOOL DISTRICT	O	O	9354.7031735
0200810	02	Alaska	WRANGELL PUBLIC SCHOOL DISTRICT	O	O	45.172548676
0200840	02	Alaska	YAKUTAT SCHOOL DISTRICT	O	O	7647.7559533
0200862	02	Alaska	YUKON/KOYUKUK SCHOOL DISTRICT	O	O	60030.236372
0400001	04	Arizona	CAVE CREEK UNIFIED DISTRICT	O	O	207.86119357
0400003	04	Arizona	CHINO VALLEY UNIFIED DISTRICT	O	O	404.10595802
0400004	04	Arizona	CLARKDALE-JEROME ELEMENTARY DISTRICT	O	O	90.400626953
0400005	04	Arizona	SALOME CONSOLIDATED ELEMENTARY DISTRICT	O	O	599.19240552
0400016	04	Arizona	CENTER FOR ACADEMIC SUCCESS  INC.	N	N	-2
0400018	04	Arizona	PINE FOREST EDUCATION ASSOCIATION  INC.	N	N	-2
0400019	04	Arizona	FLAGSTAFF ARTS AND LEADERSHIP ACADEMY	N	N	-2
0400020	04	Arizona	MONTESSORI CHARTER SCHOOL OF FLAGSTAFF  INC.	N	N	-2
0400021	04	Arizona	COLORADO CITY UNIFIED DISTRICT	O	O	834.46972843
0400022	04	Arizona	VERNON ELEMENTARY DISTRICT	O	O	218.30311646
0400023	04	Arizona	PINON UNIFIED DISTRICT	O	O	940.61068932
0400026	04	Arizona	HEBER-OVERGAARD UNIFIED DISTRICT	O	O	577.04935081
0400028	04	Arizona	TRIUMPHANT LEARNING CENTER	N	N	-2
0400031	04	Arizona	VENTANA ACADEMIC CHARTER SCHOOL	N	N	-2
0400033	04	Arizona	MESA ARTS ACADEMY	N	N	-2
0400034	04	Arizona	VALLEY ACADEMY  INC.	N	N	-2
0400036	04	Arizona	FOOTHILLS ACADEMY	N	N	-2
0400037	04	Arizona	TWENTY FIRST CENTURY CHARTER SCHOOL  INC. DBA: BENNETT ACADE	N	N	-2
0400038	04	Arizona	CASY COUNTRY DAY SCHOOL	N	N	-2
0400039	04	Arizona	DRAGONFLEYE SCIENCE  INC.	N	N	-2
0400040	04	Arizona	EDU-PRIZE  INC.	N	N	-2
0400041	04	Arizona	MARICOPA COUNTY COMMUNITY COLLEGE DISTRICT ON BEHALF OF GATE	N	N	-2
0400043	04	Arizona	NEW SCHOOL FOR THE ARTS	N	N	-2
0400045	04	Arizona	INTERNATIONAL STUDIES ACADEMY	N	N	-2
0400047	04	Arizona	SALT RIVER PIMA-MARICOPA  COMMUNITY SCHOOLS	N	N	-2
0400048	04	Arizona	KACHINA COUNTRY DAY SCHOOL	N	N	-2
0400052	04	Arizona	ESPIRITU COMMUNITY DEVELOPMENT CORP.	N	N	-2
0400053	04	Arizona	HERITAGE ACADEMY  INC.	N	N	-2
0400054	04	Arizona	VILLA MONTESSORI CHARTER SCHOOL	N	N	-2
0400055	04	Arizona	EDUPRENEURSHIP  INC.	N	N	-2
0400056	04	Arizona	ARIZONA SCHOOL FOR THE ARTS	N	N	-2
0400057	04	Arizona	ARIZONA CALL-A-TEEN YOUTH RESOURCES  INC.	N	N	-2
0400059	04	Arizona	SCOTTSDALE HORIZONS CHARTER SCHOOL	N	N	-2
0400061	04	Arizona	INTELLI-SCHOOL  INC.	N	N	-2
0400062	04	Arizona	TERTULIA: A LEARNING COMMUNITY	N	N	-2
0400064	04	Arizona	LAKE HAVASU CHARTER SCHOOL  INC.	N	N	-2
0400065	04	Arizona	BENJAMIN FRANKLIN CHARTER SCHOOL	N	N	-2
0400067	04	Arizona	VICTORY HIGH SCHOOL  INC.	N	N	-2
0400068	04	Arizona	MONTESSORI DAY PUBLIC SCHOOLS CHARTERED  INC.	N	N	-2
0400069	04	Arizona	KHALSA MONTESSORI ELEMENTARY SCHOOLS	N	N	-2
0400070	04	Arizona	TEMPE PREPARATORY ACADEMY	N	N	-2
0400071	04	Arizona	BRIGHT BEGINNINGS SCHOOL  INC.	N	N	-2
0400072	04	Arizona	MONTESSORI EDUCATION CENTRE CHARTER SCHOOL	N	N	-2
0400074	04	Arizona	KINGMAN ACADEMY OF LEARNING	N	N	-2
0400075	04	Arizona	YOUNG SCHOLARS ACADEMY CHARTER SCHOOL CORP.	N	N	-2
0400077	04	Arizona	NORTHERN ARIZONA ACADEMY FOR CAREER DEVELOPMENT  INC.	N	N	-2
0400078	04	Arizona	EDGE SCHOOL  INC. THE	N	N	-2
0400079	04	Arizona	TUCSON YOUTH DEVELOPMENT/ACE CHARTER HIGH SCHOOL	N	N	-2
0400081	04	Arizona	PRESIDIO SCHOOL	N	N	-2
0400082	04	Arizona	COLORADO RIVER UNION HIGH SCHOOL DISTRICT	O	O	1046.7379644
0400083	04	Arizona	PPEP & AFFILIATES	N	N	-2
0400085	04	Arizona	TUCSON URBAN LEAGUE  INC.	N	N	-2
0400088	04	Arizona	MINGUS MOUNTAIN ESTATE RESIDENTIAL CENTER  INC.	N	N	-2
0400089	04	Arizona	SEDONA CHARTER SCHOOL  INC.	N	N	-2
0400090	04	Arizona	MINGUS SPRINGS CHARTER SCHOOL	N	N	-2
0400092	04	Arizona	FRANKLIN PHONETIC PRIMARY SCHOOL  INC.	N	N	-2
0400093	04	Arizona	SKYVIEW SCHOOL  INC.	N	N	-2
0400094	04	Arizona	AZ-TEC HIGH SCHOOL	N	N	-2
0400095	04	Arizona	YUMA PRIVATE INDUSTRY COUNCIL  INC.	N	N	-2
0400096	04	Arizona	MOUNTAIN SCHOOL  INC.	N	N	-2
0400097	04	Arizona	NORTHLAND PREPARATORY ACADEMY	N	N	-2
0400098	04	Arizona	FLAGSTAFF JUNIOR ACADEMY	N	N	-2
0400099	04	Arizona	LIBERTY HIGH SCHOOL	N	N	-2
0400100	04	Arizona	BALL CHARTER SCHOOLS (HEARN)	N	N	-2
0400101	04	Arizona	OMEGA SCHOOLS D.B.A. OMEGA ACADEMY  INC.	N	N	-2
0400102	04	Arizona	FRIENDLY HOUSE  INC.	N	N	-2
0400103	04	Arizona	OMBUDSMAN EDUCATIONAL SERVICES  LTD. A SUBSIDIARY OF EDUCATI	N	N	-2
0400104	04	Arizona	GLOBAL RENAISSANCE ACADEMY OF DISTINGUISHED EDUCATION	N	N	-2
0400105	04	Arizona	DCS PARTNER  INC. DBA DESTINY COMMUNITY SCHOOL.	N	N	-2
0400106	04	Arizona	ARIZONA AGRIBUSINESS & EQUINE CENTER  INC.	N	N	-2
0400107	04	Arizona	INTERNATIONAL COMMERCE SECONDARY SCHOOLS  INC.	N	N	-2
0400108	04	Arizona	HUMANITIES AND SCIENCES ACADEMY OF THE UNITED STATES  INC.	N	N	-2
0400109	04	Arizona	PHOENIX ADVANTAGE CHARTER SCHOOL  INC.	N	N	-2
0400111	04	Arizona	ALLEN-COCHRAN ENTERPRISES  INC.	N	N	-2
0400112	04	Arizona	EAGLES AERIE SCHOOLS	N	N	-2
0400113	04	Arizona	FOUNTAIN HILLS CHARTER SCHOOL	N	N	-2
0400114	04	Arizona	CALLI OLLIN ACADEMY	N	N	-2
0400115	04	Arizona	HERMOSA MONTESSORI CHARTER SCHOOL	N	N	-2
0400116	04	Arizona	CASA BLANCA MIDDLE SCHOOL	N	N	-2
0400120	04	Arizona	ARIZONA DEPARTMENT OF CORRECTIONS	N	N	-2
0400121	04	Arizona	ACCELERATED LEARNING CENTER  INC.	N	N	-2
0400122	04	Arizona	ACCLAIM CHARTER SCHOOL	N	N	-2
0400124	04	Arizona	GENESIS ACADEMY	N	N	-2
0400125	04	Arizona	LUZ ACADEMY OF TUCSON  INC	N	N	-2
0400126	04	Arizona	MONTESSORI SCHOOLHOUSE OF TUCSON  INC.	N	N	-2
0400128	04	Arizona	ACADEMY OF EXCELLENCE  INC.	N	N	-2
0400129	04	Arizona	ACCELERATED ELEMENTARY AND SECONDARY SCHOOLS	N	N	-2
0400130	04	Arizona	AMERICAN HERITAGE ACADEMY	N	N	-2
0400131	04	Arizona	THE CHARTER FOUNDATION  INC. DBA AMERISCHOOLS	N	N	-2
0400133	04	Arizona	EMPLOY-ABILITY UNLIMITED  INC. DBA COPPER CANYON ACADEMY	N	N	-2
0400134	04	Arizona	BASIS SCHOOL  INC.	N	N	-2
0400135	04	Arizona	CHALLENGE SCHOOL  INC.	N	N	-2
0400136	04	Arizona	CHESTER NEWTON CHARTER AND MONTESSORI SCHOOL	N	N	-2
0400138	04	Arizona	D.W. HIGGINS INSTITUTE	N	N	-2
0400141	04	Arizona	DISCOVERY PLUS ACADEMY	N	N	-2
0400142	04	Arizona	E.Q. SCHOLARS  INC.	N	N	-2
0400143	04	Arizona	ENTERPRISE ACADEMY	N	N	-2
0400144	04	Arizona	FLORENCE CRITTENTON SERVICES OF ARIZONA  INC.	N	N	-2
0400145	04	Arizona	GEM CHARTER SCHOOL  INC.	N	N	-2
0400146	04	Arizona	GLOBAL EDUCATION FOUNDATION	N	N	-2
0400147	04	Arizona	HA:SAN EDUCATIONAL SERVICES	N	N	-2
0400148	04	Arizona	EAST VALLEY YOUTH AND FAMILY SUPPORT CENTERS  INC.	N	N	-2
0400149	04	Arizona	EL DORADO PUBLIC CHARTER HIGH SCHOOL	N	N	-2
0400150	04	Arizona	MEXICAYOTL ACADEMY  INC.	N	N	-2
0400151	04	Arizona	NEW HORIZON SCHOOL FOR THE PERFORMING ARTS	N	N	-2
0400152	04	Arizona	NEW WEST SCHOOL	N	N	-2
0400153	04	Arizona	PHOENIX SCHOOL OF ACADEMIC EXCELLENCE THE	N	N	-2
0400154	04	Arizona	SHONTO GOVERNING BOARD OF EDUCATION  INC.	N	N	-2
0400155	04	Arizona	RENAISSANCE EDUCATIONAL CONSORTIUM  INC.	N	N	-2
0400157	04	Arizona	SEQUOIA CHOICE SCHOOLS  LLLP	N	N	-2
0400159	04	Arizona	TUCSON PREPARATORY SCHOOL	N	N	-2
0400160	04	Arizona	VISION CHARTER SCHOOL  INC.	N	N	-2
0400161	04	Arizona	WESTWIND CHILDREN'S SERVICES	N	N	-2
0400162	04	Arizona	VICKI A. ROMERO HIGH SCHOOL	N	N	-2
0400163	04	Arizona	COCONINO COUNTY REGIONAL ACCOMMODATION SD	N	N	-2
0400164	04	Arizona	ARIZONA ACADEMY OF SCIENCE AND TECHNOLOGY  INC.	N	N	-2
0400165	04	Arizona	KEYSTONE MONTESSORI CHARTER SCHOOL  INC.	N	N	-2
