leaid	FIPST	STNAME	LEANAME07	COUNTYID07	COUNTYNAME07	COUNTYAREA07
0101050	01	Alabama	DALE COUNTY	01045	Dale	361.74342159
0101080	01	Alabama	DALEVILLE CITY	01045	Dale	60.36891947
0101110	01	Alabama	DALLAS COUNTY	01047	Dallas	964.93636148
0101140	01	Alabama	DEKALB COUNTY	01049	DeKalb	721.62595695
0101170	01	Alabama	DECATUR CITY	01083	Limestone	4.7662915813
0101170	01	Alabama	DECATUR CITY	01103	Morgan	48.297492498
0101200	01	Alabama	DEMOPOLIS CITY	01091	Marengo	17.738114231
0101230	01	Alabama	DOTHAN CITY	01067	Henry	0.1499736678
0101230	01	Alabama	DOTHAN CITY	01045	Dale	6.1220322256
0101230	01	Alabama	DOTHAN CITY	01069	Houston	81.438234849
0101260	01	Alabama	ELBA CITY	01031	Coffee	83.941431389
0101290	01	Alabama	ELMORE COUNTY	01051	Elmore	526.9324437
0101320	01	Alabama	ENTERPRISE CITY	01045	Dale	0.5989344352
0101320	01	Alabama	ENTERPRISE CITY	01031	Coffee	75.56252307
0101350	01	Alabama	ESCAMBIA COUNTY	01053	Escambia	933.87672491
0101380	01	Alabama	ETOWAH COUNTY	01055	Etowah	488.281882
0101410	01	Alabama	EUFAULA CITY	01005	Barbour	59.267225176
0101440	01	Alabama	FAIRFIELD CITY	01073	Jefferson	3.4715319144
0101470	01	Alabama	FAYETTE COUNTY	01057	Fayette	599.81029372
0101530	01	Alabama	FLORENCE CITY	01077	Lauderdale	25.304728825
0101560	01	Alabama	FORT PAYNE CITY	01049	DeKalb	55.46835468
0101590	01	Alabama	FRANKLIN COUNTY	01059	Franklin	620.44378777
0101620	01	Alabama	GADSDEN CITY	01055	Etowah	36.852299316
0101640	01	Alabama	GENEVA CITY	01061	Geneva	84.419633604
0101660	01	Alabama	GENEVA COUNTY	01061	Geneva	489.97880299
0101680	01	Alabama	GREENE COUNTY	01063	Greene	647.10902637
0101690	01	Alabama	GUNTERSVILLE CITY	01095	Marshall	25.357550691
0101710	01	Alabama	HALE COUNTY	01065	Hale	643.93985455
0101720	01	Alabama	HALEYVILLE CITY	01093	Marion	2.5305769756
0101720	01	Alabama	HALEYVILLE CITY	01133	Winston	71.620247275
0101730	01	Alabama	HARTSELLE CITY	01103	Morgan	14.812557433
0101740	01	Alabama	HENRY COUNTY	01067	Henry	561.60108618
0101760	01	Alabama	HOMEWOOD CITY	01073	Jefferson	8.3702997852
0101770	01	Alabama	HOUSTON COUNTY	01069	Houston	498.39352885
0101800	01	Alabama	HUNTSVILLE CITY	01089	Madison	212.35526265
0101830	01	Alabama	JACKSON COUNTY	01071	Jackson	1026.8682438
0101860	01	Alabama	JACKSONVILLE CITY	01015	Calhoun	9.6398662851
0101890	01	Alabama	JASPER CITY	01127	Walker	27.85372133
0101920	01	Alabama	JEFFERSON COUNTY	01073	Jefferson	796.61089897
0101950	01	Alabama	LAMAR COUNTY	01075	Lamar	604.84389503
0101980	01	Alabama	LANETT CITY	01017	Chambers	5.9944131015
0102010	01	Alabama	LAUDERDALE COUNTY	01077	Lauderdale	642.38978405
0102040	01	Alabama	LAWRENCE COUNTY	01079	Lawrence	690.67570815
0102070	01	Alabama	LEE COUNTY	01081	Lee	490.98155435
0102100	01	Alabama	LIMESTONE COUNTY	01083	Limestone	516.62467278
0102130	01	Alabama	LINDEN CITY	01091	Marengo	212.52665186
0102160	01	Alabama	LOWNDES COUNTY	01085	Lowndes	715.91192199
0102190	01	Alabama	MACON COUNTY	01087	Macon	608.94587311
0102220	01	Alabama	MADISON COUNTY	01089	Madison	566.42329192
0102250	01	Alabama	MARENGO COUNTY	01091	Marengo	746.62138589
0102310	01	Alabama	MARION COUNTY	01093	Marion	702.69400128
0102350	01	Alabama	MIDFIELD CITY	01073	Jefferson	2.655706899
0102370	01	Alabama	MOBILE COUNTY	01097	Mobile	1229.4310032
0102400	01	Alabama	MONROE COUNTY	01099	Monroe	1025.6737599
0102430	01	Alabama	MONTGOMERY COUNTY	01101	Montgomery	780.93630781
0102480	01	Alabama	MORGAN COUNTY	01103	Morgan	516.22519294
0102490	01	Alabama	MOUNTAIN BROOK CITY	01073	Jefferson	12.669635149
0102520	01	Alabama	MUSCLE SHOALS CITY	01033	Colbert	15.261853337
0102550	01	Alabama	ONEONTA CITY	01009	Blount	14.956750765
0102580	01	Alabama	OPELIKA CITY	01081	Lee	57.198690882
0102610	01	Alabama	OPP CITY	01039	Covington	23.663859446
0102635	01	Alabama	OXFORD CITY	01121	Talladega	6.0080834351
0102635	01	Alabama	OXFORD CITY	01015	Calhoun	24.990898413
0102640	01	Alabama	OZARK CITY	01045	Dale	65.757093855
0102650	01	Alabama	PELL CITY	01115	St. Clair	155.5391859
0102670	01	Alabama	PERRY COUNTY	01105	Perry	719.66126291
0102700	01	Alabama	PHENIX CITY	01081	Lee	3.7861237195
0102700	01	Alabama	PHENIX CITY	01113	Russell	22.092025909
0102730	01	Alabama	PICKENS COUNTY	01107	Pickens	881.40831849
0102760	01	Alabama	PIEDMONT CITY	01015	Calhoun	40.240375245
0102760	01	Alabama	PIEDMONT CITY	01029	Cleburne	48.984855914
0102790	01	Alabama	PIKE COUNTY	01109	Pike	644.59541434
0102820	01	Alabama	RANDOLPH COUNTY	01111	Randolph	561.84694794
0102850	01	Alabama	ROANOKE CITY	01111	Randolph	18.70231059
0102880	01	Alabama	RUSSELL COUNTY	01113	Russell	619.0774714
0102910	01	Alabama	RUSSELLVILLE CITY	01059	Franklin	13.528797045
0102940	01	Alabama	SCOTTSBORO CITY	01071	Jackson	50.956338794
0102970	01	Alabama	SELMA CITY	01047	Dallas	13.762579209
0103000	01	Alabama	SHEFFIELD CITY	01033	Colbert	6.4876852711
0103030	01	Alabama	SHELBY COUNTY	01117	Shelby	763.81536401
0103062	01	Alabama	ST CLAIR COUNTY	01115	St. Clair	471.51654178
0103090	01	Alabama	SUMTER COUNTY	01119	Sumter	903.88755855
0103120	01	Alabama	SYLACAUGA CITY	01121	Talladega	18.530215198
0103150	01	Alabama	TALLADEGA CITY	01121	Talladega	23.997140527
0103180	01	Alabama	TALLADEGA COUNTY	01121	Talladega	688.23482966
0103210	01	Alabama	TALLAPOOSA COUNTY	01123	Tallapoosa	618.03508202
0103240	01	Alabama	TALLASSEE CITY	01123	Tallapoosa	3.1998267946
0103240	01	Alabama	TALLASSEE CITY	01051	Elmore	91.555495238
0103270	01	Alabama	TARRANT CITY	01073	Jefferson	6.4668593059
0103300	01	Alabama	THOMASVILLE CITY	01025	Clarke	105.79418746
0103330	01	Alabama	TROY CITY	01109	Pike	27.430212804
0103360	01	Alabama	TUSCALOOSA CITY	01125	Tuscaloosa	58.06521343
0103390	01	Alabama	TUSCALOOSA COUNTY	01125	Tuscaloosa	1263.6928604
0103420	01	Alabama	TUSCUMBIA CITY	01033	Colbert	8.6704170058
0103430	01	Alabama	VESTAVIA HILLS CITY	01117	Shelby	0.0134548886
0103430	01	Alabama	VESTAVIA HILLS CITY	01073	Jefferson	18.906925437
0103450	01	Alabama	WALKER COUNTY	01127	Walker	763.34439696
0103480	01	Alabama	WASHINGTON COUNTY	01129	Washington	1080.207189
0103510	01	Alabama	WILCOX COUNTY	01131	Wilcox	888.50183012
0103540	01	Alabama	WINFIELD CITY	01057	Fayette	27.847140218
0103540	01	Alabama	WINFIELD CITY	01093	Marion	37.063277899
0103580	01	Alabama	WINSTON COUNTY	01133	Winston	541.35360395
0200001	02	Alaska	LOWER KUSKOKWIM SCHOOL DISTRICT	02270	Wade Hampton	860.5140352
0200001	02	Alaska	LOWER KUSKOKWIM SCHOOL DISTRICT	02050	Bethel	20440.812694
0200003	02	Alaska	LOWER YUKON SCHOOL DISTRICT	02050	Bethel	1617.5525168
0200003	02	Alaska	LOWER YUKON SCHOOL DISTRICT	02270	Wade Hampton	16007.850634
0200004	02	Alaska	YUPIIT SCHOOL DISTRICT	02050	Bethel	12.865332195
0200005	02	Alaska	KASHUNAMIUT SCHOOL DISTRICT	02270	Wade Hampton	0.9894443526
0200006	02	Alaska	MOUNT EDGECUMBE HIGH SCHOOL	N	N	-2
0200007	02	Alaska	ALEUTIANS EAST BOROUGH SCHOOL DISTRICT	02013	Aleutians East	6982.4725061
0200010	02	Alaska	ALEUTIAN REGION SCHOOL DISTRICT	02016	Aleutians West	4203.6062681
0200020	02	Alaska	BERING STRAIT SCHOOL DISTRICT	02180	Nome	22945.871658
0200030	02	Alaska	BRISTOL BAY BOROUGH SCHOOL DISTRICT	02060	Bristol Bay	503.97566552
0200050	02	Alaska	ALASKA GATEWAY SCHOOL DISTRICT	02290	Yukon-Koyukuk	374.05726436
0200050	02	Alaska	ALASKA GATEWAY SCHOOL DISTRICT	02261	Valdez-Cordova	1341.176158
0200050	02	Alaska	ALASKA GATEWAY SCHOOL DISTRICT	02240	Southeast Fairbanks	16910.421444
0200060	02	Alaska	CORDOVA CITY SCHOOL DISTRICT	02261	Valdez-Cordova	61.193668851
0200070	02	Alaska	COPPER RIVER SCHOOL DISTRICT	02240	Southeast Fairbanks	289.90080572
0200070	02	Alaska	COPPER RIVER SCHOOL DISTRICT	02261	Valdez-Cordova	23231.513902
0200090	02	Alaska	CRAIG CITY SCHOOL DISTRICT	02201	Prince of Wales-Outer Ketchikan	7.2024831775
0200100	02	Alaska	DELTA/GREELY SCHOOL DISTRICT	02240	Southeast Fairbanks	5602.7204678
0200120	02	Alaska	DILLINGHAM CITY SCHOOL DISTRICT	02070	Dillingham	33.570617702
0200130	02	Alaska	GALENA CITY SCHOOL DISTRICT	02290	Yukon-Koyukuk	17.725354712
0200150	02	Alaska	KETCHIKAN GATEWAY BOROUGH SCHOOL DISTRICT	02130	Ketchikan Gateway	1232.4517488
0200180	02	Alaska	ANCHORAGE SCHOOL DISTRICT	02020	Anchorage	1705.1337574
0200210	02	Alaska	JUNEAU BOROUGH SCHOOL DISTRICT	02110	Juneau	2700.0102892
0200240	02	Alaska	SITKA SCHOOL DISTRICT	02220	Sitka	2870.157039
0200270	02	Alaska	HAINES BOROUGH SCHOOL DISTRICT	02100	Haines	2318.8133609
0200300	02	Alaska	HOONAH CITY SCHOOL DISTRICT	02105	Hoonah-Angoon	5.9993054022
0200330	02	Alaska	HYDABURG CITY SCHOOL DISTRICT	02201	Prince of Wales-Outer Ketchikan	0.581584934
0200360	02	Alaska	KAKE CITY SCHOOL DISTRICT	02280	Wrangell-Petersburg	8.9614766555
0200390	02	Alaska	KENAI PENINSULA BOROUGH SCHOOL DISTRICT	02122	Kenai Peninsula	16080.047726
0200450	02	Alaska	KLAWOCK CITY SCHOOL DISTRICT	02201	Prince of Wales-Outer Ketchikan	0.7669332831
0200480	02	Alaska	KODIAK ISLAND BOROUGH SCHOOL DISTRICT	02150	Kodiak Island	6550.4104753
0200485	02	Alaska	LAKE AND PENINSULA BOROUGH SCHOOL DISTRICT	02164	Lake and Peninsula	23725.84461
0200510	02	Alaska	MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT	02170	Matanuska-Susitna	24611.688465
0200520	02	Alaska	IDITAROD AREA SCHOOL DISTRICT	02050	Bethel	7296.1256519
0200520	02	Alaska	IDITAROD AREA SCHOOL DISTRICT	02290	Yukon-Koyukuk	33040.574086
0200525	02	Alaska	ANNETTE ISLAND SCHOOL DISTRICT	02201	Prince of Wales-Outer Ketchikan	131.80782459
0200540	02	Alaska	NENANA CITY SCHOOL DISTRICT	02290	Yukon-Koyukuk	5.9085165646
0200570	02	Alaska	NOME PUBLIC SCHOOLS	02180	Nome	12.631520687
0200600	02	Alaska	FAIRBANKS NORTH STAR BOROUGH SCHOOL DISTRICT	02090	Fairbanks North Star	7337.9714404
0200610	02	Alaska	NORTH SLOPE BOROUGH SCHOOL DISTRICT	02185	North Slope	88688.691409
0200625	02	Alaska	NORTHWEST ARCTIC BOROUGH SCHOOL DISTRICT	02188	Northwest Arctic	35551.689314
0200630	02	Alaska	PELICAN CITY SCHOOL DISTRICT	02105	Hoonah-Angoon	0.6013363768
0200660	02	Alaska	PETERSBURG CITY SCHOOL DISTRICT	02280	Wrangell-Petersburg	44.13783809
0200670	02	Alaska	PRIBILOF SCHOOL DISTRICT	02016	Aleutians West	75.064573272
0200680	02	Alaska	SAINT MARY'S SCHOOL DISTRICT	02270	Wade Hampton	44.28808898
0200690	02	Alaska	SKAGWAY CITY SCHOOL DISTRICT	02230	Skagway	452.09826185
0200700	02	Alaska	SOUTHEAST ISLAND SCHOOL DISTRICT	02280	Wrangell-Petersburg	4917.6016657
0200700	02	Alaska	SOUTHEAST ISLAND SCHOOL DISTRICT	02201	Prince of Wales-Outer Ketchikan	7407.0584925
0200710	02	Alaska	SOUTHWEST REGION SCHOOL DISTRICT	02070	Dillingham	18544.717892
0200715	02	Alaska	TANANA CITY SCHOOL DISTRICT	02290	Yukon-Koyukuk	11.040619107
0200720	02	Alaska	UNALASKA CITY SCHOOL DISTRICT	02016	Aleutians West	111.7035299
0200730	02	Alaska	CHATHAM SCHOOL DISTRICT	02280	Wrangell-Petersburg	799.50772359
0200730	02	Alaska	CHATHAM SCHOOL DISTRICT	02105	Hoonah-Angoon	7512.8259355
0200760	02	Alaska	KUSPUK SCHOOL DISTRICT	02270	Wade Hampton	190.70824305
0200760	02	Alaska	KUSPUK SCHOOL DISTRICT	02050	Bethel	11192.89881
0200770	02	Alaska	DENALI BOROUGH SCHOOL DISTRICT	02068	Denali	12764.868963
0200775	02	Alaska	YUKON FLATS SCHOOL DISTRICT	02240	Southeast Fairbanks	1950.5276217
0200775	02	Alaska	YUKON FLATS SCHOOL DISTRICT	02290	Yukon-Koyukuk	52027.005256
0200780	02	Alaska	VALDEZ CITY SCHOOL DISTRICT	02261	Valdez-Cordova	218.30919641
0200800	02	Alaska	CHUGACH SCHOOL DISTRICT	02261	Valdez-Cordova	9354.7031735
0200810	02	Alaska	WRANGELL PUBLIC SCHOOL DISTRICT	02280	Wrangell-Petersburg	45.172548676
0200840	02	Alaska	YAKUTAT SCHOOL DISTRICT	02282	Yakutat	7647.7559533
0200862	02	Alaska	YUKON/KOYUKUK SCHOOL DISTRICT	02290	Yukon-Koyukuk	60030.236372
0400001	04	Arizona	CAVE CREEK UNIFIED DISTRICT	04013	Maricopa	207.86119357
0400003	04	Arizona	CHINO VALLEY UNIFIED DISTRICT	04025	Yavapai	404.10595802
0400004	04	Arizona	CLARKDALE-JEROME ELEMENTARY DISTRICT	04025	Yavapai	90.400626953
0400005	04	Arizona	SALOME CONSOLIDATED ELEMENTARY DISTRICT	04012	La Paz	599.19240552
0400016	04	Arizona	CENTER FOR ACADEMIC SUCCESS  INC.	N	N	-2
0400018	04	Arizona	PINE FOREST EDUCATION ASSOCIATION  INC.	N	N	-2
0400019	04	Arizona	FLAGSTAFF ARTS AND LEADERSHIP ACADEMY	N	N	-2
0400020	04	Arizona	MONTESSORI CHARTER SCHOOL OF FLAGSTAFF  INC.	N	N	-2
0400021	04	Arizona	COLORADO CITY UNIFIED DISTRICT	04015	Mohave	834.46972843
0400022	04	Arizona	VERNON ELEMENTARY DISTRICT	04001	Apache	218.30311646
0400023	04	Arizona	PINON UNIFIED DISTRICT	04017	Navajo	940.61068932
0400026	04	Arizona	HEBER-OVERGAARD UNIFIED DISTRICT	04017	Navajo	577.04935081
0400028	04	Arizona	TRIUMPHANT LEARNING CENTER	N	N	-2
0400031	04	Arizona	VENTANA ACADEMIC CHARTER SCHOOL	N	N	-2
0400033	04	Arizona	MESA ARTS ACADEMY	N	N	-2
0400034	04	Arizona	VALLEY ACADEMY  INC.	N	N	-2
0400036	04	Arizona	FOOTHILLS ACADEMY	N	N	-2
0400037	04	Arizona	TWENTY FIRST CENTURY CHARTER SCHOOL  INC. DBA: BENNETT ACADE	N	N	-2
0400038	04	Arizona	CASY COUNTRY DAY SCHOOL	N	N	-2
0400039	04	Arizona	DRAGONFLEYE SCIENCE  INC.	N	N	-2
0400040	04	Arizona	EDU-PRIZE  INC.	N	N	-2
0400041	04	Arizona	MARICOPA COUNTY COMMUNITY COLLEGE DISTRICT ON BEHALF OF GATE	N	N	-2
0400043	04	Arizona	NEW SCHOOL FOR THE ARTS	N	N	-2
0400045	04	Arizona	INTERNATIONAL STUDIES ACADEMY	N	N	-2
0400047	04	Arizona	SALT RIVER PIMA-MARICOPA  COMMUNITY SCHOOLS	N	N	-2
0400048	04	Arizona	KACHINA COUNTRY DAY SCHOOL	N	N	-2
0400052	04	Arizona	ESPIRITU COMMUNITY DEVELOPMENT CORP.	N	N	-2
0400053	04	Arizona	HERITAGE ACADEMY  INC.	N	N	-2
0400054	04	Arizona	VILLA MONTESSORI CHARTER SCHOOL	N	N	-2
0400055	04	Arizona	EDUPRENEURSHIP  INC.	N	N	-2
0400056	04	Arizona	ARIZONA SCHOOL FOR THE ARTS	N	N	-2
0400057	04	Arizona	ARIZONA CALL-A-TEEN YOUTH RESOURCES  INC.	N	N	-2
0400059	04	Arizona	SCOTTSDALE HORIZONS CHARTER SCHOOL	N	N	-2
0400061	04	Arizona	INTELLI-SCHOOL  INC.	N	N	-2
0400062	04	Arizona	TERTULIA: A LEARNING COMMUNITY	N	N	-2
0400064	04	Arizona	LAKE HAVASU CHARTER SCHOOL  INC.	N	N	-2
0400065	04	Arizona	BENJAMIN FRANKLIN CHARTER SCHOOL	N	N	-2
0400067	04	Arizona	VICTORY HIGH SCHOOL  INC.	N	N	-2
0400068	04	Arizona	MONTESSORI DAY PUBLIC SCHOOLS CHARTERED  INC.	N	N	-2
0400069	04	Arizona	KHALSA MONTESSORI ELEMENTARY SCHOOLS	N	N	-2
0400070	04	Arizona	TEMPE PREPARATORY ACADEMY	N	N	-2
0400071	04	Arizona	BRIGHT BEGINNINGS SCHOOL  INC.	N	N	-2
0400072	04	Arizona	MONTESSORI EDUCATION CENTRE CHARTER SCHOOL	N	N	-2
0400074	04	Arizona	KINGMAN ACADEMY OF LEARNING	N	N	-2
0400075	04	Arizona	YOUNG SCHOLARS ACADEMY CHARTER SCHOOL CORP.	N	N	-2
0400077	04	Arizona	NORTHERN ARIZONA ACADEMY FOR CAREER DEVELOPMENT  INC.	N	N	-2
0400078	04	Arizona	EDGE SCHOOL  INC. THE	N	N	-2
0400079	04	Arizona	TUCSON YOUTH DEVELOPMENT/ACE CHARTER HIGH SCHOOL	N	N	-2
0400081	04	Arizona	PRESIDIO SCHOOL	N	N	-2
0400082	04	Arizona	COLORADO RIVER UNION HIGH SCHOOL DISTRICT	04015	Mohave	1046.7379644
0400083	04	Arizona	PPEP & AFFILIATES	N	N	-2
0400085	04	Arizona	TUCSON URBAN LEAGUE  INC.	N	N	-2
0400088	04	Arizona	MINGUS MOUNTAIN ESTATE RESIDENTIAL CENTER  INC.	N	N	-2
0400089	04	Arizona	SEDONA CHARTER SCHOOL  INC.	N	N	-2
0400090	04	Arizona	MINGUS SPRINGS CHARTER SCHOOL	N	N	-2
0400092	04	Arizona	FRANKLIN PHONETIC PRIMARY SCHOOL  INC.	N	N	-2
0400093	04	Arizona	SKYVIEW SCHOOL  INC.	N	N	-2
0400094	04	Arizona	AZ-TEC HIGH SCHOOL	N	N	-2
0400095	04	Arizona	YUMA PRIVATE INDUSTRY COUNCIL  INC.	N	N	-2
0400096	04	Arizona	MOUNTAIN SCHOOL  INC.	N	N	-2
0400097	04	Arizona	NORTHLAND PREPARATORY ACADEMY	N	N	-2
0400098	04	Arizona	FLAGSTAFF JUNIOR ACADEMY	N	N	-2
0400099	04	Arizona	LIBERTY HIGH SCHOOL	N	N	-2
0400100	04	Arizona	BALL CHARTER SCHOOLS (HEARN)	N	N	-2
0400101	04	Arizona	OMEGA SCHOOLS D.B.A. OMEGA ACADEMY  INC.	N	N	-2
0400102	04	Arizona	FRIENDLY HOUSE  INC.	N	N	-2
0400103	04	Arizona	OMBUDSMAN EDUCATIONAL SERVICES  LTD. A SUBSIDIARY OF EDUCATI	N	N	-2
0400104	04	Arizona	GLOBAL RENAISSANCE ACADEMY OF DISTINGUISHED EDUCATION	N	N	-2
0400105	04	Arizona	DCS PARTNER  INC. DBA DESTINY COMMUNITY SCHOOL.	N	N	-2
0400106	04	Arizona	ARIZONA AGRIBUSINESS & EQUINE CENTER  INC.	N	N	-2
0400107	04	Arizona	INTERNATIONAL COMMERCE SECONDARY SCHOOLS  INC.	N	N	-2
0400108	04	Arizona	HUMANITIES AND SCIENCES ACADEMY OF THE UNITED STATES  INC.	N	N	-2
0400109	04	Arizona	PHOENIX ADVANTAGE CHARTER SCHOOL  INC.	N	N	-2
0400111	04	Arizona	ALLEN-COCHRAN ENTERPRISES  INC.	N	N	-2
0400112	04	Arizona	EAGLES AERIE SCHOOLS	N	N	-2
0400113	04	Arizona	FOUNTAIN HILLS CHARTER SCHOOL	N	N	-2
0400114	04	Arizona	CALLI OLLIN ACADEMY	N	N	-2
0400115	04	Arizona	HERMOSA MONTESSORI CHARTER SCHOOL	N	N	-2
0400116	04	Arizona	CASA BLANCA MIDDLE SCHOOL	N	N	-2
0400120	04	Arizona	ARIZONA DEPARTMENT OF CORRECTIONS	N	N	-2
0400121	04	Arizona	ACCELERATED LEARNING CENTER  INC.	N	N	-2
0400122	04	Arizona	ACCLAIM CHARTER SCHOOL	N	N	-2
0400124	04	Arizona	GENESIS ACADEMY	N	N	-2
0400125	04	Arizona	LUZ ACADEMY OF TUCSON  INC	N	N	-2
0400126	04	Arizona	MONTESSORI SCHOOLHOUSE OF TUCSON  INC.	N	N	-2
